2022,40,41,27,14,14,27,9,NO,E
2021,48,34,24,17,24,17,5,NO,E
2020,27,45,16,20,11,25,12,NO,E
2019,53,19,26,10,27,9,2,NO,E
2018,58,24,32,9,26,15,2,YES,E
2017,59,23,34,7,25,16,1,NO,E
2016,51,31,28,13,23,18,3,NO,E
2015,56,26,32,9,24,17,2,NO,E
2014,49,33,27,14,22,19,4,NO,E
2013,48,34,26,15,22,19,12,NO,E
2012,34,48,21,20,13,28,20,NO,E
2011,23,43,13,20,10,23,24,NO,E
2010,22,60,16,25,6,35,28,NO,E
2009,40,42,25,16,15,26,19,NO,E
2008,33,49,18,23,15,26,22,NO,E
2007,41,41,25,16,16,25,15,NO,E
2006,47,35,30,11,17,24,9,NO,E
2005,27,55,15,26,12,29,26,NO,E
2004,33,49,22,19,11,30,24,NO,E
2003,33,49,18,23,15,26,23,NO,E
2002,24,58,15,26,9,32,27,NO,E
2001,42,40,24,17,18,23,16,NO,E
2000,47,35,27,14,20,21,13,NO,E
1999,45,37,26,15,19,22,13,NO,E
1998,23,27,14,11,9,16,19,NO,E
